type;id;date;time;lat;long;alt;speed;distance;distint;stop
Point;1;9-1-2014;10:37:32;52,2185358;6,8907905;96,5;0;0;0;0
Point;2;9-1-2014;10:37:41;52,2185321;6,8909475;93,6;4,4;0,0107;10,74;0
Point;3;9-1-2014;10:37:46;52,2185063;6,8911529;82,9;10,3;0,0251;14,33;0
Point;4;9-1-2014;10:37:49;52,2184543;6,8913224;64,5;14,4;0,038;12,95;0
Point;5;9-1-2014;10:37:53;52,2183028;6,8914473;45,9;18,2;0,0569;18,9;0
Point;6;9-1-2014;10:37:57;52,2181131;6,8915602;34,4;17,9;0,0794;22,47;0
Point;7;9-1-2014;10:38:01;52,2180071;6,8915708;31,8;12,7;0,0912;11,82;0
Point;8;9-1-2014;10:38:04;52,2179316;6,8916742;34,3;10,9;0,1022;10,98;0
Point;9;9-1-2014;10:38:10;52,2178717;6,8918121;37,5;7,1;0,1137;11,54;0
Point;10;9-1-2014;10:38:17;52,217835;6,891948;40;5,2;0,1239;10,15;0
Point;11;9-1-2014;10:38:25;52,2177801;6,8920896;42,2;5;0,1353;11,44;0
Point;12;9-1-2014;10:38:33;52,2177511;6,89225;43,9;5,1;0,1467;11,43;0
Point;13;9-1-2014;10:38:42;52,2177422;6,8924057;44,9;4,6;0,1574;10,69;0
Point;14;9-1-2014;10:38:49;52,2177622;6,8925511;44,9;5,2;0,1676;10,18;0
Point;15;9-1-2014;10:38:55;52,21778;6,8927037;44,3;6,2;0,1782;10,62;0
Point;16;9-1-2014;10:39:01;52,2177832;6,892864;42,4;6,1;0,1892;10,96;0
Point;17;9-1-2014;10:39:09;52,2178155;6,8930246;38,4;5,2;0,2007;11,55;0
Point;18;9-1-2014;10:39:17;52,2178047;6,8931795;33,5;4,8;0,2114;10,65;0
Point;19;9-1-2014;10:39:26;52,2177789;6,8933282;30,5;4,5;0,222;10,56;0
Point;20;9-1-2014;10:39:35;52,2177302;6,8934732;31;4,4;0,2332;11,29;0
Point;21;9-1-2014;10:39:44;52,217686;6,8936222;34,5;4,2;0,2446;11,31;0
Point;22;9-1-2014;10:39:54;52,2175839;6,8937035;41,3;5;0,2572;12,65;0
Point;23;9-1-2014;10:39:59;52,2174701;6,8937337;44,9;7,7;0,27;12,83;0
Point;24;9-1-2014;10:40:05;52,2174165;6,8938696;49,6;7,3;0,2811;11,04;0
Point;25;9-1-2014;10:40:13;52,2175111;6,8937926;48;5,2;0,2928;11,77;0
Point;26;9-1-2014;10:40:20;52,2176007;6,8938383;53,8;5,6;0,3033;10,45;0
Point;27;9-1-2014;10:40:25;52,2176934;6,8941179;73;13,8;0,325;21,72;0
Point;28;9-1-2014;10:40:31;52,2177762;6,894419;90,2;15,9;0,3475;22,55;0
Point;29;9-1-2014;10:40:34;52,21777;6,8945848;89,7;13,7;0,3589;11,35;0
Point;30;9-1-2014;10:40:37;52,2177154;6,8947259;76,9;10,5;0,3703;11,4;0
Point;31;9-1-2014;10:40:42;52,2176285;6,8947921;61,9;8,9;0,381;10,68;0
Point;32;9-1-2014;10:40:47;52,2175321;6,8948275;49,3;7,2;0,392;11;0
